#{"t_start": 1740379874.6132984, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,197,118.711654
4.0,329,119.540474
5.0,384,120.54663
4.0,335,121.335946
1.0,215,121.824248
2.0,236,122.359947
2.0,255,122.959407
1.0,210,123.494965
1.0,175,123.891531
1.0,225,124.41975
1.0,203,124.9306
1.0,198,125.395298
0.0,163,125.754073
0.0,183,126.148046
3.0,279,126.809519
2.0,247,127.405656
1.0,206,127.859173
3.0,266,128.552522
1.0,190,128.989555
2.0,229,129.538718
0.0,162,129.921116
2.0,224,130.432869
4.0,320,131.209452
1.0,202,131.687027
2.0,257,132.278455
2.0,222,132.786952
4.0,351,133.596835
0.0,160,133.960119
2.0,250,134.515431
4.0,326,135.291627
2.0,243,135.856416
2.0,243,136.440497
0.0,151,136.803589
0.0,151,137.210296
1.0,188,137.665647
2.0,255,138.282937
1.0,213,138.762656
2.0,267,139.371412
2.0,225,139.928777
0.0,169,140.327388
4.0,320,141.110861
1.0,206,141.649399
0.0,158,142.014401
0.0,164,142.387081
0.0,155,142.787952
0.0,146,143.109862
3.0,282,143.768398
4.0,339,144.589468
3.0,294,145.301641
1.0,210,145.785754
1.0,200,146.278014
1.0,206,146.793726
1.0,207,147.306536
3.0,308,148.098324
0.0,168,148.524569
2.0,238,149.050161
2.0,218,149.521288
4.0,304,150.312977
0.0,170,150.680715
3.0,260,151.304574
2.0,248,151.921959
1.0,196,152.386615
4.0,321,153.19593
1.0,223,153.74049
5.0,377,154.729378
1.0,202,155.205488
0.0,161,155.53499
2.0,235,156.080285
0.0,167,156.485344
1.0,188,156.900074
1.0,221,157.380814
2.0,229,157.91051
2.0,235,158.503889
2.0,243,159.094186
0.0,167,159.454544
2.0,225,159.991695
2.0,236,160.549213
3.0,276,161.274923
1.0,198,161.787392
2.0,252,162.375562
4.0,319,163.166416
0.0,160,163.514438
1.0,210,164.015423
2.0,259,164.660868
1.0,200,165.139192
2.0,221,165.709609
2.0,257,166.330217
1.0,191,166.783534
3.0,300,167.466548
2.0,250,168.054469
1.0,200,168.607144
1.0,208,169.163421
2.0,235,169.851467
0.0,146,170.22934
0.0,178,170.698196
1.0,198,171.161449
3.0,293,171.901748
2.0,243,172.473897
3.0,276,173.147199
1.0,195,173.644161
3.0,297,174.365056
0.0,162,174.715659
2.0,239,175.316523
2.0,232,175.847011
2.0,212,176.333923
2.0,259,176.929146
0.0,163,177.280585
1.0,196,177.75072
2.0,245,178.351211
3.0,306,179.109059
2.0,236,179.656761
2.0,245,180.246391
0.0,174,180.616582
4.0,320,181.425969
1.0,178,181.874752
2.0,254,182.500132
2.0,227,183.136307
1.0,224,183.640164
1.0,210,184.09029
2.0,229,184.614373
0.0,173,185.014788
2.0,226,185.585728
0.0,176,186.023979
2.0,243,186.640411
2.0,214,187.167189
3.0,276,187.836373
2.0,243,188.450003
1.0,216,188.958131
2.0,232,189.49867
2.0,234,190.077196
3.0,269,190.757065
1.0,208,191.222381
1.0,183,191.664599
3.0,288,192.358968
2.0,205,192.856899
2.0,219,193.380915
2.0,228,193.939277
4.0,292,194.719109
2.0,231,195.329913
2.0,231,195.888645
1.0,208,196.387522
3.0,248,196.977716
1.0,198,197.491611
1.0,209,197.964294
2.0,253,198.544212
0.0,155,198.941679
0.0,169,199.291465
0.0,170,199.6513
2.0,208,200.162972
2.0,245,200.748056
4.0,343,201.626506
3.0,302,202.381475
0.0,160,202.758958
2.0,239,203.33821
1.0,206,203.838252
1.0,192,204.2611
3.0,301,204.946697
1.0,205,205.481352
3.0,240,206.042901
0.0,167,206.431979
2.0,245,206.993701
