#{"t_start": 1740424077.2655869, "env_id": "ALE/Breakout-ram-v5"}
r,l,t
0.0,120,50.630613
2.0,195,50.842135
0.0,120,50.975744
2.0,195,51.186929
1.0,148,51.348934
2.0,195,51.559994
2.0,195,51.772968
1.0,148,51.93494
2.0,195,52.144729
0.0,120,52.277113
2.0,195,52.489311
0.0,120,52.621637
2.0,195,52.833398
2.0,179,53.028091
2.0,195,53.239517
1.0,148,53.401344
2.0,195,53.612145
2.0,196,53.82409
3.0,210,54.053634
2.0,178,54.246179
0.0,120,54.378731
3.0,210,54.606802
2.0,179,54.80425
2.0,195,55.015285
2.0,196,55.226813
2.0,195,55.43831
2.0,195,55.651261
3.0,224,55.892176
3.0,223,56.131175
2.0,195,56.341338
2.0,195,56.555831
3.0,210,56.781934
2.0,196,56.997202
3.0,210,57.224612
0.0,121,57.359596
1.0,148,57.52148
3.0,224,57.764258
0.0,120,57.899774
1.0,148,58.068429
3.0,223,58.309426
2.0,196,58.521364
1.0,148,58.683491
3.0,245,58.951011
0.0,120,59.083619
2.0,195,59.294598
2.0,195,59.506036
2.0,215,59.940895
2.0,196,60.157229
3.0,245,60.426696
3.0,223,60.666497
0.0,120,60.801937
7.0,410,61.240793
4.0,257,61.517971
2.0,195,61.73086
2.0,195,61.944351
0.0,120,62.079533
2.0,195,62.291733
3.0,223,62.535543
0.0,120,62.670227
3.0,241,62.930393
3.0,223,63.173956
1.0,149,63.339457
3.0,223,63.582829
0.0,121,63.718538
0.0,121,63.856174
2.0,195,64.068655
1.0,149,64.234835
2.0,195,64.447448
0.0,120,64.583058
3.0,223,64.825341
2.0,195,65.039262
0.0,120,65.172367
2.0,195,65.386445
2.0,179,65.583272
2.0,195,65.797056
4.0,251,66.070077
2.0,215,66.305182
2.0,215,66.538782
2.0,179,66.736074
2.0,195,66.953871
2.0,178,67.149686
2.0,195,67.363102
2.0,177,67.556458
3.0,223,67.798942
0.0,121,67.933621
2.0,195,68.143999
2.0,195,68.358107
1.0,150,68.520837
0.0,120,68.652646
4.0,293,68.966887
2.0,179,69.164858
0.0,120,69.29646
2.0,196,69.507055
0.0,120,69.639346
3.0,223,69.883235
1.0,166,70.063918
2.0,179,70.257572
2.0,195,70.469872
2.0,195,70.685743
3.0,223,70.927695
2.0,196,71.137425
3.0,223,71.375586
0.0,121,71.513507
1.0,148,71.677089
1.0,149,71.840683
3.0,244,72.103979
3.0,210,72.333345
0.0,120,72.468089
0.0,120,72.602973
0.0,120,72.735198
3.0,210,72.965916
2.0,195,73.17958
0.0,120,73.314218
2.0,196,73.527334
2.0,179,73.725393
2.0,195,73.937783
7.0,392,74.355992
1.0,148,74.519988
0.0,121,74.656616
2.0,215,74.89102
3.0,223,75.132543
2.0,195,75.345728
2.0,179,75.544627
1.0,166,75.728346
0.0,120,75.862758
2.0,179,76.05983
3.0,223,76.302139
0.0,120,76.437379
2.0,216,76.6727
3.0,241,76.936001
3.0,225,77.190593
2.0,179,77.387935
1.0,167,77.572174
2.0,179,77.770416
3.0,244,78.041366
2.0,179,78.23593
2.0,179,78.430993
6.0,301,78.752461
3.0,210,78.979946
5.0,365,79.369504
0.0,121,79.501934
2.0,179,79.698062
0.0,120,79.831575
2.0,195,80.0407
3.0,210,80.267984
3.0,225,80.509794
3.0,210,80.738742
0.0,120,80.870731
2.0,179,81.064467
0.0,120,81.198548
2.0,179,81.394101
0.0,120,81.526122
2.0,179,81.721146
2.0,179,81.916473
0.0,120,82.050018
0.0,120,82.182103
3.0,210,82.408124
3.0,210,82.635253
2.0,195,82.846898
3.0,224,83.087011
2.0,179,83.280688
0.0,121,83.412763
3.0,241,83.67552
2.0,196,83.885757
0.0,120,84.017381
0.0,120,84.148766
2.0,179,84.342482
2.0,180,84.536913
0.0,120,84.668279
2.0,177,84.860417
1.0,149,85.023483
6.0,323,85.367494
3.0,223,85.605329
3.0,223,85.844284
2.0,196,86.056338
0.0,120,86.187752
4.0,255,86.46026
2.0,198,86.672271
2.0,195,86.884104
2.0,196,87.1005
3.0,210,87.330878
1.0,149,87.49152
3.0,210,87.717093
2.0,195,87.927303
0.0,120,88.058643
3.0,246,88.321374
0.0,120,88.45433
2.0,195,88.662825
1.0,148,88.826059
2.0,179,89.019928
2.0,179,89.214795
2.0,195,89.424389
2.0,195,89.747459
2.0,195,89.997904
3.0,223,90.242026
2.0,196,90.453284
0.0,120,90.584607
0.0,121,90.719065
2.0,196,90.930832
3.0,225,91.171847
2.0,196,91.381618
2.0,195,91.591138
3.0,225,91.83359
2.0,195,92.042874
3.0,210,92.269192
3.0,224,92.508373
1.0,148,92.67045
2.0,195,92.882379
2.0,198,93.09478
2.0,195,93.304374
3.0,223,93.543382
1.0,148,93.704177
3.0,244,93.965134
0.0,120,94.09581
2.0,195,94.307604
0.0,120,94.443982
3.0,242,94.705527
0.0,120,94.840774
0.0,120,94.973906
2.0,195,95.182253
0.0,120,95.31383
3.0,210,95.540594
0.0,120,95.67346
1.0,148,95.834247
3.0,225,96.075461
0.0,120,96.207011
2.0,195,96.418417
